2026-04-04 05:17:26,066 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:17:26,068 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:17:26,068 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:17:46,223 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:17:53,066 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:17:53,067 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:17:53,290 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:17:53,353 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:17:53,355 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:17:53,356 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:18:49,295 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:19:01,481 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:19:01,481 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:19:01,708 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:19:01,818 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:19:01,820 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:19:01,821 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:19:40,917 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:19:46,701 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:19:46,702 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:19:46,861 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
2026-04-04 05:19:46,910 | INFO | app.rag | ChromaDB contains 8 guideline chunks
2026-04-04 05:19:46,911 | INFO | main | ✅ ChromaDB initialized successfully: {'initialized': True, 'collection': 'sepsis_guidelines', 'document_count': 8, 'status': 'healthy'}
2026-04-04 05:19:46,912 | INFO | main | 🏥 OmniKavach Backend ready for ICU sepsis detection
2026-04-04 05:20:12,385 | INFO | main | 🛑 Shutting down OmniKavach Backend...
2026-04-04 05:22:00,267 | INFO | main | 🚀 Starting OmniKavach Backend Server...
2026-04-04 05:22:00,267 | INFO | main | 📚 Initializing Medical Librarian (ChromaDB)...
2026-04-04 05:22:00,489 | INFO | app.rag | Loaded existing ChromaDB collection 'sepsis_guidelines'
